iter	Passed	Remaining
0	27	27947
1	50	25197
2	70	23523
3	90	22570
4	110	21909
5	130	21673
6	150	21361
7	169	21078
8	189	20895
9	209	20731
10	234	21044
11	254	20930
12	276	20998
13	300	21163
14	321	21139
15	344	21171
16	364	21062
17	383	20943
18	403	20830
19	422	20724
20	446	20827
21	466	20733
22	486	20650
23	505	20569
24	525	20485
25	544	20406
26	563	20301
27	583	20241
28	603	20192
29	624	20180
30	648	20264
31	671	20312
32	694	20341
33	717	20375
34	739	20386
35	761	20384
36	783	20379
37	805	20384
38	835	20579
39	857	20589
40	880	20602
41	902	20578
42	921	20518
43	942	20473
44	962	20416
45	981	20354
46	1001	20300
47	1027	20368
48	1052	20436
49	1076	20445
50	1098	20434
51	1120	20425
52	1142	20408
53	1162	20365
54	1187	20401
55	1210	20403
56	1230	20356
57	1253	20366
58	1279	20407
59	1303	20416
60	1326	20412
61	1346	20365
62	1366	20317
63	1392	20370
64	1414	20346
65	1436	20322
66	1457	20292
67	1478	20263
68	1501	20254
69	1522	20231
70	1544	20203
71	1564	20167
72	1589	20187
73	1612	20182
74	1635	20168
75	1656	20140
76	1678	20117
77	1700	20106
78	1721	20073
79	1743	20048
80	1764	20020
81	1788	20021
82	1809	19988
83	1829	19950
84	1849	19906
85	1868	19861
86	1888	19817
87	1907	19773
88	1927	19731
89	1947	19692
90	1974	19724
91	1996	19700
92	2016	19668
93	2037	19635
94	2057	19602
95	2077	19563
96	2097	19526
97	2117	19493
98	2138	19462
99	2158	19428
100	2182	19430
101	2203	19402
102	2223	19365
103	2247	19364
104	2269	19346
105	2297	19373
106	2318	19350
107	2339	19318
108	2358	19282
109	2383	19284
110	2406	19270
111	2426	19236
112	2445	19199
113	2465	19162
114	2486	19132
115	2506	19099
116	2526	19064
117	2546	19037
118	2570	19031
119	2593	19020
120	2615	18998
121	2636	18970
122	2657	18944
123	2678	18924
124	2700	18900
125	2722	18886
126	2744	18865
127	2767	18856
128	2789	18835
129	2811	18812
130	2831	18780
131	2850	18745
132	2870	18710
133	2878	18602
134	2898	18569
135	2918	18542
136	2939	18518
137	2964	18519
138	2985	18492
139	3005	18462
140	3025	18429
141	3044	18396
142	3064	18364
143	3086	18345
144	3106	18319
145	3127	18295
146	3149	18274
147	3172	18263
148	3192	18235
149	3212	18203
150	3235	18189
151	3256	18168
152	3279	18154
153	3300	18129
154	3319	18098
155	3339	18067
156	3363	18057
157	3383	18033
158	3405	18013
159	3426	17990
160	3448	17971
161	3469	17947
162	3490	17921
163	3510	17892
164	3531	17873
165	3551	17845
166	3571	17816
167	3591	17786
168	3610	17754
169	3630	17723
170	3649	17693
171	3669	17662
172	3689	17635
173	3708	17605
174	3730	17588
175	3751	17564
176	3773	17543
177	3793	17517
178	3813	17491
179	3834	17466
180	3854	17439
181	3874	17411
182	3893	17382
183	3916	17367
184	3936	17342
185	3956	17313
186	3975	17283
187	3994	17254
188	4015	17229
189	4035	17204
190	4057	17185
191	4081	17174
192	4101	17148
193	4121	17121
194	4140	17094
195	4160	17066
196	4180	17038
197	4202	17023
198	4225	17006
199	4248	16995
200	4272	16981
201	4292	16956
202	4312	16929
